disasterNumber,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,paLoadDate,iaLoadDate,totalObligatedAmountHmgp,hash,lastRefresh,id
1258,,,,,9574047.21,1178287.29,8395759.92,2021-02-12T00:00:00.000Z,,2546649,8c3922f79ab2ebd0cae50e4d6338a758,2021-02-12T05:03:25.392Z,5aa2d583cb4f0f7020b17e82
1268,,,,,721979.29,43929.52,655398.71,2021-02-12T00:00:00.000Z,,120352,7d2bf39c7b4262fe2f3efaa075184c87,2021-02-12T03:43:14.500Z,5aa2d583cb4f0f7020b17e87
1241,,,,,,,,,,302741,cdb3511d86a8653c09a3f67907919323,2021-02-11T09:23:29.073Z,5aa2d583cb4f0f7020b17e8c
1265,,,,,6970269.48,2590192.47,4349918.09,2021-02-12T00:00:00.000Z,,1319820,c25f22e1468fd12ef68ebb4aa773116e,2021-02-12T03:43:14.500Z,5aa2d583cb4f0f7020b17e91
1247,,,,,611049043.19,210172543.92,400876499.27,2021-02-12T00:00:00.000Z,,220712228,22de51c57bb7d364d4e21caab329febd,2021-02-12T05:03:25.390Z,5aa2d583cb4f0f7020b17e96
1272,,,,,40588743.22,29892462.64,10342694.45,2021-02-12T00:00:00.000Z,,12665798,624252a7071dabc8d3867d6a62447131,2021-02-12T03:43:14.501Z,5aa2d583cb4f0f7020b17e9b
1243,,,,,3647893.61,2212669.86,1435223.75,2021-02-12T00:00:00.000Z,,580602,8bb1e61a351be7a7c4fa98c702766654,2021-02-12T05:03:25.389Z,5aa2d583cb4f0f7020b17e7f
1239,,,,,8225378.98,4219882.47,3961713.95,2021-02-12T00:00:00.000Z,,3887494,29f7883027bf1edb16133dd2c948a29b,2021-02-12T03:43:14.496Z,5aa2d583cb4f0f7020b17e84
1278,,,,,501235.42,20563.57,469397.28,2021-02-12T00:00:00.000Z,,113954,642de14614517e73f5bd9fbea6c1f523,2021-02-12T03:43:14.501Z,5aa2d583cb4f0f7020b17e89
1250,,,,,33075261.2,6459569.14,26615692.06,2021-02-12T00:00:00.000Z,,6689836,eda40fc9985e1a0740f2c950345ca5d2,2021-02-12T05:03:25.391Z,5aa2d583cb4f0f7020b17e8e
1275,,,,,5322523.58,2426827.39,2821849.55,2021-02-12T00:00:00.000Z,,853245,e4573ccaf674c731f8848de776b5e28d,2021-02-12T03:43:14.501Z,5aa2d583cb4f0f7020b17e93
1257,,,,,33279674.22,9756691.41,23183628.92,2021-02-12T00:00:00.000Z,,18906913,5805144155139a8ed6dddd04a9bccbb9,2021-02-12T03:43:14.500Z,5aa2d583cb4f0f7020b17e98
1285,,,,,518798.92,331705.11,182722.6,2021-02-12T00:00:00.000Z,,86350,711e3169e1ba59669f78bcf1fadeafc8,2021-02-12T03:43:14.502Z,5aa2d583cb4f0f7020b17e9d
1310,,,,,4680340.29,1386231.25,3245139.39,2021-02-12T00:00:00.000Z,,250405,4246ac9de3bd58d11a41ae4fc73c2eb2,2021-02-12T03:43:14.547Z,5aa2d583cb4f0f7020b17ea2
1335,,,,,31020492.12,4053927.92,26379603.98,2021-02-12T00:00:00.000Z,,2766765,9cd26e81a5fd91d4267dab5f36bf7026,2021-02-12T03:43:14.587Z,5aa2d583cb4f0f7020b17ea7
1282,,,,,10955690.74,1814403.47,8883933.06,2021-02-12T00:00:00.000Z,,2636499,f72a8b536b165eb6a7973c57a76e8e85,2021-02-12T03:43:14.501Z,5aa2d583cb4f0f7020b17eac
1256,,,,,,,,,,645473,7d53eee15b53d2fbe396168dae9130a1,2021-02-11T09:23:29.076Z,5aa2d583cb4f0f7020b17eb1
1263,,,,,1579219.78,113278.63,1465941.15,2021-02-12T00:00:00.000Z,,235411,0f89a4f69e9808ef1d6bc2c239ec7f3f,2021-02-12T05:03:25.393Z,5aa2d583cb4f0f7020b17e83
1273,,,,,3144097.57,2597610.34,546487.23,2021-02-12T00:00:00.000Z,,1764725,d164698df4c90236033074b0f136570e,2021-02-12T03:43:14.501Z,5aa2d583cb4f0f7020b17e88
1245,,,,,9530146.71,1888561.16,7641585.55,2021-02-12T00:00:00.000Z,,2204299,ecfd4d5e2427dcf1effcc79c22864967,2021-02-12T05:03:25.390Z,5aa2d583cb4f0f7020b17e8d
1270,,,,,,,,,,319783,246e7e7c0c22e30052c3017a7cbad2ab,2020-06-02T13:22:16.209Z,5aa2d583cb4f0f7020b17e92
1252,,,,,2022392.91,174832,1847560.91,2021-02-12T00:00:00.000Z,,286725,f46a6b95603c468baa6c771acd975cbc,2021-02-12T05:03:25.391Z,5aa2d583cb4f0f7020b17e97
1277,,,,,8534710.43,1862546.18,6422742.96,2021-02-12T00:00:00.000Z,,2449736,b9ce2a6729f8ced1f69ef64b5829e52e,2021-02-12T03:43:14.501Z,5aa2d583cb4f0f7020b17e9c
1305,,,,,594693.82,73108.21,521585.61,2021-02-12T00:00:00.000Z,,11345,35f659a67e0978d2c481ab3b9d175ddd,2021-02-12T03:43:14.539Z,5aa2d583cb4f0f7020b17ea1
1248,,,,,8565996.79,2159881.74,6406115.05,2021-02-12T00:00:00.000Z,,996958,74da77cf6a663db3d7f53943b33a0e65,2021-02-12T05:03:25.391Z,5aa2d583cb4f0f7020b17e80
1244,,,,,31274411.72,29707892.15,1566519.57,2021-02-12T00:00:00.000Z,,2801027,1ca6c625218c38e270e209177f245461,2021-02-12T05:03:25.390Z,5aa2d583cb4f0f7020b17e85
1283,,,,,11679939.6,3332720.86,8260184.09,2021-02-12T00:00:00.000Z,,2769144,bff4c6779ec5fba868ba2f35bd87689f,2021-02-12T03:43:14.501Z,5aa2d583cb4f0f7020b17e8a
1255,,,,,6183513.64,1401615.75,4781897.89,2021-02-12T00:00:00.000Z,,844215,812024393a26028d44c832e3806fff8a,2021-02-12T05:03:25.392Z,5aa2d583cb4f0f7020b17e8f
1280,,,,,801099.77,621063.41,162372.31,2021-02-12T00:00:00.000Z,,1152684,4bd651bdeb2e2579e2c749a26b488781,2021-02-12T03:43:14.501Z,5aa2d583cb4f0f7020b17e94
1262,,,,,15377362.84,4437805.23,10793815.08,2021-02-12T00:00:00.000Z,,1494499,96418e1c27ee94aa46bb95659c7a26de,2021-02-12T03:43:14.500Z,5aa2d583cb4f0f7020b17e99
1290,,,,,,,,,,200782,19a6b9001365416e48e57ffd21caeb07,2020-06-02T13:22:16.332Z,5aa2d583cb4f0f7020b17e9e
1315,,,,,2043473.79,1256195.35,847752.31,2021-02-12T00:00:00.000Z,,662973,43b11e7f5fbbfbca82789bb5c26eb697,2021-02-12T03:43:14.564Z,5aa2d583cb4f0f7020b17ea3
1340,,,,,,,,,,311009,0a48bd6d3ddf8e12d565d9f787d2e5d0,2020-06-02T13:22:16.494Z,5aa2d583cb4f0f7020b17ea8
1287,,,,,3704291.45,2689766.86,906909.42,2021-02-12T00:00:00.000Z,,3182052,0a741949233e4e052fa4a7ddde05e045,2021-02-12T03:43:14.502Z,5aa2d583cb4f0f7020b17ead
1261,,,,,5735788.21,2349946.79,3385841.42,2021-02-12T00:00:00.000Z,,1096729,a9ecabe82273da0a8fb64a3cabfb6872,2021-02-12T03:43:14.500Z,5aa2d583cb4f0f7020b17eb2
1253,,,,,12908455.45,494514.78,12413940.67,2021-02-12T00:00:00.000Z,,2116175,e554a5123f6fa0441af8f6e1b1839069,2021-02-12T05:03:25.391Z,5aa2d583cb4f0f7020b17e81
1249,,,,,112018620.58,44714863.89,67303756.69,2021-02-12T00:00:00.000Z,,15005046,3af9f8b9dc5eebdff79355450bf32a39,2021-02-12T05:03:25.391Z,5aa2d583cb4f0f7020b17e86
